"DisplayName","DisplayVersion","Publisher","InstallDate","EstimatedSizeKB","EstimatedSizeMB","InstallLocation"
"¾Ë¾à","v2.5","ESTsecurity Corp.",,,"","C:\Program Files\ESTsoft\ALYac"
"AhnLab Safe Transaction","1.18.0.1994","AhnLab, Inc.","20230604","145455","142","C:\Program Files\AhnLab\Safe Transaction"
"AMD Chipset Software","2.17.25.506","Advanced Micro Devices, Inc.",,"47487","46.4","C:\Program Files (x86)\AMD\Chipset_IODrivers\"
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc.","20210605","103836","101.4",""
"AMD GPIO2 Driver","2.2.0.130","Advanced Micro Devices, Inc.","20210605","777","0.8","C:\AMD\GPIO2 Driver\"
"AMD PSP Driver","4.16.0.0","Advanced Micro Devices, Inc.","20210605","3277","3.2","C:\AMD\PSP Driver\"
"AMD Ryzen Balanced Driver","6.0.0.9","Advanced Micro Devices, Inc.","20210605","233","0.2","C:\AMD\RyzenPPKG Driver\"
"AMD SBxxx SMBus Driver Alpha","5.12.0.38","Advanced Micro Devices, Inc.","20210605","733","0.7","C:\AMD\SBxxxSMBus Driver\"
"AMD Settings","2021.0617.1956.35892","Advanced Micro Devices, Inc.","20210605","262480","256.3",""
"AMD SFH I2C Driver","1.0.0.86","Advanced Micro Devices, Inc.","20210605","921","0.9","C:\AMD\SFHI2C Driver\"
"AMD Software","21.6.1","Advanced Micro Devices, Inc.",,"313000","305.7","C:\Program Files\AMD\CIM\BIN64"
"AMD_Chipset_Drivers","2.17.25.506","Advanced Micro Devices, Inc.","20210605","47487","46.4","C:\Program Files (x86)\AMD\Chipset_IODrivers\"
"AnySign4PC 1.1.4.5","1.1.4.5","HANCOM WITH Inc.",,,"",
"AppProtection","25.7.2000.79","Citrix Systems, Inc.","20260713","7397","7.2",""
"Branding64","1.00.0006","Advanced Micro Devices, Inc.","20210605","2289","2.2",""
"CCDNService 2.0.2.8","2.0.2.8","Gvix(주)",,,"",
"Citrix Authentication Manager","25.7.2000.4","Citrix Systems, Inc.","20260713","17193","16.8",""
"Citrix Browser Content Redirection Plug-in","25.11.1.5","Citrix Systems, Inc.","20260630","300020","293",""
"Citrix Desktop Lock","25.7.2000.9","Citrix Systems, Inc.","20260713","1837","1.8",""
"Citrix Secure Access Endpoint Analysis","25.11.1.8","Citrix Systems, Inc.","20260713","64732","63.2","C:\Program Files\Citrix\Secure Access Client\"
"Citrix Web Helper","25.7.2000.11","Citrix Systems, Inc.","20260713","5819","5.7",""
"Citrix Workspace 2507","25.7.2000.2020","Citrix Systems, Inc.",,"554595","541.6","C:\PROGRAM FILES (X86)\CITRIX\"
"Citrix Workspace Inside","25.7.2000.9","Citrix Systems, Inc.","20260630","112487","109.9",""
"Citrix Workspace(DV)","25.7.2000.6","Citrix Systems, Inc.","20260713","55686","54.4","C:\Program Files (x86)\Citrix\ICA Client\"
"Citrix Workspace(SSON)","25.7.2000.9","Citrix Systems, Inc.","20260713","1473","1.4",""
"Citrix Workspace(USB)","25.7.2000.6","Citrix Systems, Inc.","20260713","1896","1.9","C:\Program Files (x86)\Citrix\ICA Client\"
"Claude","1.22209.0","Anthropic PBC","20260717","222782","217.6","C:\Users\chang.JWS\AppData\Local\AnthropicClaude"
"Cursor (User)","3.12.17","Anysphere","20260718","1146168","1119.3","C:\Users\chang.JWS\AppData\Local\Programs\cursor\"
"Delfino G3 (x86) 버전 3.7.1.0","3.7.1.0","Wizvera","20260304","44406","43.4","C:\Program Files (x86)\Wizvera\Delfino-G3\"
"deviceTRUST ICA Client Extension x64 2511","25.11.24.0","Citrix Systems, Inc.","20260713","28360","27.7",""
"deviceTRUST ICA Client Extension x86 2511","25.11.24.0","Citrix Systems, Inc.","20260713","10739","10.5",""
"Docker Desktop","4.82.0","Docker Inc.",,"3471302","3389.9","C:\Program Files\Docker\Docker"
"DocuPrint CM225_228 fw","1.027.00","Fuji Xerox","20230323","35056","34.2","C:\Program Files (x86)\Fuji Xerox\"
"Eclipse Temurin JDK with Hotspot 17.0.19+10 (x64)","17.0.19.10","Eclipse Adoptium","20260611","311264","304","C:\Program Files\Eclipse Adoptium\jdk-17.0.19.10-hotspot\"
"Erlang OTP 27.0.1 (15.0.1)","27.0.1","Ericsson AB",,,"",
"Everything (Windy 필수 프로그램)","1.4.1.1022","voidtools",,"3072","3","C:\Program Files (x86)\Everything"
"ezPDFReader 2.0G","2.0G","Unidocs, Inc.",,,"",
"Fast Duplicate File Finder 4.7.0.1","4.7.0.1","MindGems, Inc.","20260712","8315","8.1","C:\Program Files (x86)\Fast Duplicate File Finder\"
"Git","2.46.0","The Git Development Community","20240821","347691","339.5","C:\Program Files\Git\"
"Google Chrome","150.0.7871.127","Google LLC","20260717","484831","473.5","C:\Program Files\Google\Chrome\Application"
"GrafanaEnterprise","11.1.4.0","Grafana Labs","20240826","717194","700.4",""
"HD Tune Pro 5.75",,"EFD Software","20240206","4377","4.3","C:\Program Files (x86)\HD Tune Pro\"
"HTTPS Connect SecureConnection","3.3","Secure Connection, Inc.",,,"","C:\ProgramData\secureconnection\"
"iniLINE CrossEX Service","1.0.2.18","iniLINE Co., Ltd.",,,"",
"INISAFE CrossWeb EX V3","3.4.1.14","Initech, Inc.","20251004",,"","C:\Program Files (x86)\INITECH\INISAFE Web EX Client"
"IntelliJ IDEA Community Edition 2024.2.0.2","242.20224.419","JetBrains s.r.o.",,,"","C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2024.2.0.2"
"IPinside LWS Agent","3.0.0.26","interezen",,,"",
"KeySharp biz v2.2 For 32bit","2.2.0.3192","RaonSecure Co., Ltd.",,"6478","6.3",
"KeySharp CertRelay","2.1.0.25","RaonSecure Co., Ltd.",,"11169","10.9",
"LAV Filters 0.80","0.80","Hendrik Leppkes","20251014","52026","50.8","C:\Program Files (x86)\LAV Filters\"
"LibreOffice 26.2.3.2","26.2.3.2","The Document Foundation","20260526","809947","791","C:\Program Files\LibreOffice\"
"Logi Download Assistant","2.0.529","Logitech",,,"",
"MagicLine4NX","1.0.0.32","Dreamsecurity, Inc.",,"16743","16.4",
"MariaDB 11.5 (x64)","11.5.2.0","MariaDB Corporation Ab",,,"","C:\Programming(23-08-15)\MariaDB\"
"MarkAny EPSBroker","2.5.0.43","MarkAny Inc.",,,"",
"MarkAny EPSBrokerIros","2.5.0.49","MarkAny Inc.",,,"",
